  12,12,15
  0,0,0
  1
  12,12,14
  0,0,0
  1
  8,8,14
  0,0,0
  1
  8,8,13
  0,0,0
  1
  8,8,12
  0,0,0
  1
  8,8,11
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,8
  0,0,0
  1
  8,8,7
  0,0,0
  1
  8,8,6
  0,0,0
  1
  8,8,5
  0,0,0
  1
  8,8,4
  0,0,0
  1
  8,8,3
  0,0,0
  1
  8,8,2
  0,0,0
  1
  8,8,1
  0,0,0
  1

  0,0,0
  0,0,0
  6

  12,12,15
  0,0,0
  1
  12,12,14
  0,0,0
  1
  8,8,14
  0,0,0
  1
  8,8,13
  0,0,0
  1
  8,8,12
  0,0,0
  1
  8,8,11
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,8
  0,0,0
  1
  8,8,7
  0,0,0
  1
  8,8,6
  0,0,0
  1
  8,8,5
  0,0,0
  1
  8,8,4
  0,0,0
  1
  8,8,3
  0,0,0
  1
  8,8,2
  0,0,0
  1
  8,8,1
  0,0,0
  1

  0,0,0
  0,0,0
  6

  12,12,14
  0,0,0
  1
  12,12,13
  0,0,0
  1
  8,8,14
  0,0,0
  1
  8,8,13
  0,0,0
  1
  8,8,12
  0,0,0
  1
  8,8,11
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,8
  0,0,0
  1
  8,8,7
  0,0,0
  1
  8,8,6
  0,0,0
  1
  8,8,5
  0,0,0
  1
  8,8,4
  0,0,0
  1
  8,8,3
  0,0,0
  1
  8,8,2
  0,0,0
  1
  8,8,1
  0,0,0
  1

  0,0,0
  0,0,0
  6

  12,12,13
  0,0,0
  1
  12,12,12
  0,0,0
  1
  8,8,14
  0,0,0
  1
  8,8,13
  0,0,0
  1
  8,8,12
  0,0,0
  1
  8,8,11
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,8
  0,0,0
  1
  8,8,7
  0,0,0
  1
  8,8,6
  0,0,0
  1
  8,8,5
  0,0,0
  1
  8,8,4
  0,0,0
  1
  8,8,3
  0,0,0
  1
  8,8,2
  0,0,0
  1
  8,8,1
  0,0,0
  1

  0,0,0
  0,0,0
  6

  12,12,12
  0,0,0
  1
  12,12,11
  0,0,0
  1
  8,8,14
  0,0,0
  1
  8,8,13
  0,0,0
  1
  8,8,12
  0,0,0
  1
  8,8,11
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,8
  0,0,0
  1
  8,8,7
  0,0,0
  1
  8,8,6
  0,0,0
  1
  8,8,5
  0,0,0
  1
  8,8,4
  0,0,0
  1
  8,8,3
  0,0,0
  1
  8,8,2
  0,0,0
  1
  8,8,1
  0,0,0
  1

  0,0,0
  0,0,0
  6

  12,12,11
  0,0,0
  1
  12,12,10
  0,0,0
  1
  8,8,14
  0,0,0
  1
  8,8,13
  0,0,0
  1
  8,8,12
  0,0,0
  1
  8,8,11
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,8
  0,0,0
  1
  8,8,7
  0,0,0
  1
  8,8,6
  0,0,0
  1
  8,8,5
  0,0,0
  1
  8,8,4
  0,0,0
  1
  8,8,3
  0,0,0
  1
  8,8,2
  0,0,0
  1
  8,8,1
  0,0,0
  1

  0,0,0
  0,0,0
  6

  12,12,10
  0,0,0
  1
  12,12,9
  0,0,0
  1
  8,8,14
  0,0,0
  1
  8,8,13
  0,0,0
  1
  8,8,12
  0,0,0
  1
  8,8,11
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,8
  0,0,0
  1
  8,8,7
  0,0,0
  1
  8,8,6
  0,0,0
  1
  8,8,5
  0,0,0
  1
  8,8,4
  0,0,0
  1
  8,8,3
  0,0,0
  1
  8,8,2
  0,0,0
  1
  8,8,1
  0,0,0
  1

  0,0,0
  0,0,0
  6

  12,12,9
  0,0,0
  1
  12,12,8
  0,0,0
  1
  8,8,14
  0,0,0
  1
  8,8,13
  0,0,0
  1
  8,8,12
  0,0,0
  1
  8,8,11
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,10
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,9
  0,0,0
  1
  8,8,8
  0,0,0
  1
  8,8,7
  0,0,0
  1
  8,8,6
  0,0,0
  1
  8,8,5
  0,0,0
  1
  8,8,4
  0,0,0
  1
  8,8,3
  0,0,0
  1
  8,8,2
  0,0,0
  1
  8,8,1
  0,0,0
  1

  0,0,0
  0,0,0
  0
