
  0,8,8
  0,0,0
  1
  15,8,31
  0,0,0
  1
  14,8,31
  0,0,0
  1
  14,8,31
  0,0,0
  1
  14,8,31
  0,0,0
  1
  13,8,31
  0,0,0
  1
  12,8,31
  0,0,0
  1
  12,8,31
  0,0,0
  1
  12,8,31
  0,0,0
  1
  11,8,31
  0,0,0
  1
  10,8,31
  0,0,0
  1
  10,8,31
  0,0,0
  1
  9,8,31
  0,0,0
  1
  9,8,31
  0,0,0
  1
  8,8,31
  0,0,0
  1
  8,8,31
  0,0,0
  1
  7,8,31
  0,0,0
  1
  7,8,31
  0,0,0
  1
  6,8,31
  0,0,0
  1
  6,8,31
  0,0,0
  1
  5,8,31
  0,0,0
  1
  4,8,31
  0,0,0
  1
  4,8,31
  0,0,0
  1
  3,8,31
  0,0,0
  1
  3,8,31
  0,0,0
  1
  2,8,31
  0,0,0
  1
  2,8,31
  0,0,0
  1
  1,8,31
  0,0,0
  1
  1,8,31
  0,0,0
  1
  0,8,31
  0,0,0
  1
  0,0,0
  0,0,0
  0
